id;Nome;Tipo;Valor;Categoria;Conta;Data;Obs;desconsiderar;Parcela;Data origem;Data Criacao;TAG
6;IPVA;Despesa;-414,27;Serviços;Itaú;17/03/2023 00:00;;False;2.0;17/02/2023;;
81;bar da 13;Despesa;-25,0;Lazer;PDA;18/03/2023 00:00;;False;;;23/04/2023 14:46;
82;bar da 13 2 ;Despesa;-25,0;Lazer;PDA;18/03/2023 00:00;;False;;;23/04/2023 14:47;
83;bk;Despesa;-91,6;Restaurante;PDA;18/03/2023 00:00;;False;;;23/04/2023 14:47;
84;fernanda cristina;Despesa;-12,0;Supermercado;PDA;18/03/2023 00:00;;False;;;23/04/2023 14:48;
85;zeik gastro bar ;Despesa;-132,54;Lazer;PDA;18/03/2023 00:00;;False;;;23/04/2023 14:48;
86;jatoba;Despesa;-79,99;Supermercado;PDA;19/03/2023 00:00;;False;;;23/04/2023 14:48;
87;amazon;Despesa;-178,99;Presentes;PDA;19/03/2023 00:00;;False;;;23/04/2023 14:49;
106;mae pagamento;Despesa;-90,0;Compras;Itaú;20/03/2023 00:00;;False;;;23/04/2023 15:05;
107;pai transf;Despesa;-135,0;Serviços;Itaú;20/03/2023 00:00;;False;;;23/04/2023 15:06;
48;anuidade;Despesa;-33,75;Multas;PDA;21/03/2023 00:00;;False;2.0;21/02/2023;;
108;Aplicação;Investimento;-6700,0;Tesouro Selic;Itaú;23/03/2023 00:00;;True;;;23/04/2023 15:07;
108;Aplicação;Investimento;6700,0;Tesouro Selic;Nuinvest;23/03/2023 00:00;;True;;;23/04/2023 15:07;
88;associacao atletica;Despesa;-35,0;Lazer;PDA;24/03/2023 00:00;;False;;;23/04/2023 14:51;
89;fabioferreitade;Despesa;-139,0;Restaurante;PDA;24/03/2023 00:00;;False;;;23/04/2023 14:52;
157;Casa das Alianças;Despesa;-51,68;Presentes;PDA;25/03/2023 00:00;;False;2.0;25/02/2023;23/04/2023 15:52;
90;pague menos;Despesa;-8,2;Saúde;PDA;26/03/2023 00:00;;False;;;23/04/2023 14:53;
91;bk drive;Despesa;-66,6;Restaurante;PDA;26/03/2023 00:00;;False;;;23/04/2023 14:53;
92;supermercado aeroporto;Despesa;-40,74;Supermercado;PDA;26/03/2023 00:00;;False;;;23/04/2023 14:54;
93;club wine;Despesa;-77,62;Lazer;PDA;27/03/2023 00:00;;False;;;23/04/2023 14:55;
114;Transferência;Transferência;2825,74;Transferência;PDA;27/03/2023 00:00;;True;;;23/04/2023 15:11;
109;Cfpl;Despesa;-413,0;Casa;Itaú;27/03/2023 00:00;;False;;;23/04/2023 15:09;
110;Aplicação;Investimento;-1000,0;Tesouro Selic;Itaú;27/03/2023 00:00;;True;;;23/04/2023 15:09;
111;salario;Receita;5779,3;Salário;Itaú;27/03/2023 00:00;;False;;;23/04/2023 15:09;
112;onix parcela;Despesa;-1000,0;Onix;Itaú;27/03/2023 00:00;;False;;;23/04/2023 15:10;
113;saae;Despesa;-89,9;Casa;Itaú;27/03/2023 00:00;;False;;;23/04/2023 15:10;
114;Transferência;Transferência;-2825,74;Transferência;Itaú;27/03/2023 00:00;;True;;;23/04/2023 15:11;
110;Aplicação;Investimento;1000,0;Tesouro Selic;Nuinvest;27/03/2023 00:00;;True;;;23/04/2023 15:09;
94;ifood;Despesa;-42,59;Restaurante;PDA;29/03/2023 00:00;;False;;;23/04/2023 14:56;
95;drogal;Despesa;-91,27;Saúde;PDA;29/03/2023 00:00;;False;;;23/04/2023 14:56;
96;lava rapido;Despesa;-55,0;Serviços;PDA;29/03/2023 00:00;;False;;;23/04/2023 14:56;
115;nayara;Despesa;-20,0;Presentes;Itaú;31/03/2023 00:00;;False;;;23/04/2023 15:14;
97;ifood + churrascaria;Despesa;-87,02;Restaurante;PDA;31/03/2023 00:00;;False;;;23/04/2023 14:57;
57;genera;Despesa;-36,58;Compras;PDA;01/04/2023 00:00;;False;3.0;01/02/2023;;
61;peças onix mercado livre;Despesa;-33,3;Serviços;PDA;01/04/2023 00:00;;False;3.0;01/02/2023;;
58;Relogio;Despesa;-99,88;Compras;PDA;01/04/2023 00:00;;False;3.0;01/02/2023;;
59;mercado llivre;Despesa;-17,71;Compras;PDA;01/04/2023 00:00;;False;3.0;01/02/2023;;
60;Hotel urbano(ITALIA);Despesa;-469,25;Viagem;PDA;01/04/2023 00:00;;False;3.0;01/02/2023;;
61;peças onix mercado livre;Despesa;-33,3;Serviços;PDA;01/04/2023 00:00;;False;6.0;01/02/2023;;
158;Youcom;Despesa;-81,9;Compras;PDA;01/04/2023 00:00;;False;3.0;01/02/2023;23/04/2023 15:54;
116;bar do denny;Despesa;-27,5;Lazer;PDA;01/04/2023 00:00;;False;;;23/04/2023 15:23;
117;luciana aparecida;Despesa;-30,0;Restaurante;PDA;01/04/2023 00:00;;False;;;23/04/2023 15:24;
118;bike hotel;Despesa;-67,9;Restaurante;PDA;01/04/2023 00:00;;False;;;23/04/2023 15:25;
119;uber;Despesa;-12,9;Transporte;PDA;01/04/2023 00:00;;False;;;23/04/2023 15:25;
188;Havancon (presente vinicius);Despesa;-56,15;Presentes;PDA;01/04/2023 00:00;;False;1.0;01/04/2023;03/05/2023 14:04;
23;microsoft;Despesa;-29,99;TV,Internet,Telefone;PDA;02/04/2023 00:00;;False;3.0;02/02/2023;;
120;bar das artes;Despesa;-157,1;Lazer;PDA;02/04/2023 00:00;;False;;;23/04/2023 15:26;
121;bar da 13;Despesa;-51,0;Lazer;PDA;02/04/2023 00:00;;False;;;23/04/2023 15:26;
122;aws;Despesa;-111,58;Multas;PDA;02/04/2023 00:00;;False;;;23/04/2023 15:27;
123;pag jose;Despesa;-9,0;Compras;PDA;02/04/2023 00:00;;False;;;23/04/2023 15:27;
124;gympass;Despesa;-49,9;Saúde;PDA;03/04/2023 00:00;;False;;;23/04/2023 15:28;
125;autoposto;Despesa;-100,0;Transporte;PDA;03/04/2023 00:00;;False;;;23/04/2023 15:28;
126;pag ticket ;Despesa;-86,0;Lazer;PDA;05/04/2023 00:00;;False;;;23/04/2023 15:29;
20;google fotos;Despesa;-6,99;TV,Internet,Telefone;PDA;06/04/2023 00:00;;False;3.0;06/02/2023;;
127;christian lucas;Despesa;-86,0;Restaurante;PDA;06/04/2023 00:00;;False;;;23/04/2023 15:30;
128;bandeira burguer;Despesa;-40,0;Restaurante;PDA;06/04/2023 00:00;;False;;;23/04/2023 15:30;
129;sagrado bar + bar da 13;Despesa;-93,98;Lazer;PDA;08/04/2023 00:00;;False;;;23/04/2023 15:31;
22;youse;Despesa;-200,0;Serviços;PDA;09/04/2023 00:00;;False;3.0;09/02/2023;;
130;disk breja;Despesa;-5,49;Lazer;PDA;09/04/2023 00:00;;False;;;23/04/2023 15:31;
131;otavio pattaro;Despesa;-38,0;Supermercado;PDA;10/04/2023 00:00;;False;;;23/04/2023 15:32;
132;uber;Despesa;-8,44;Transporte;PDA;10/04/2023 00:00;;False;;;23/04/2023 15:32;
161;Bianca;Receita;133,0;Cobrança;Itaú;10/04/2023 00:00;;False;;;23/04/2023 15:59;
